"","x"
"1","A1BG"
"2","A1CF"
"3","A2M"
"4","A2ML1"
"5","A3GALT2"
"6","A4GALT"
"7","A4GNT"
"8","AAAS"
"9","AACS"
"10","AADAC"
"11","AADACL2"
"12","AADACL3"
"13","AADACL4"
"14","AADAT"
"15","AAGAB"
"16","AAK1"
"17","AAMDC"
"18","AAMP"
"19","AANAT"
"20","AAR2"
"21","AARD"
"22","AARS1"
"23","AARS2"
"24","AASDH"
"25","AASDHPPT"
"26","AASS"
"27","AATF"
"28","AATK"
"29","ABAT"
"30","ABCA1"
"31","ABCA10"
"32","ABCA12"
"33","ABCA13"
"34","ABCA2"
"35","ABCA3"
"36","ABCA4"
"37","ABCA5"
"38","ABCA6"
"39","ABCA7"
"40","ABCA8"
"41","ABCA9"
"42","ABCB1"
"43","ABCB10"
"44","ABCB11"
"45","ABCB4"
"46","ABCB5"
"47","ABCB6"
"48","ABCB7"
"49","ABCB8"
"50","ABCB9"
"51","ABCC1"
"52","ABCC10"
"53","ABCC11"
"54","ABCC12"
"55","ABCC2"
"56","ABCC3"
"57","ABCC4"
"58","ABCC5"
"59","ABCC6"
"60","ABCC8"
"61","ABCC9"
"62","ABCD1"
"63","ABCD2"
"64","ABCD3"
"65","ABCD4"
"66","ABCE1"
"67","ABCF1"
"68","ABCF2"
"69","ABCF2-H2BE1"
"70","ABCF3"
"71","ABCG1"
"72","ABCG2"
"73","ABCG4"
"74","ABCG5"
"75","ABCG8"
"76","ABHD1"
"77","ABHD10"
"78","ABHD11"
"79","ABHD12"
"80","ABHD12B"
"81","ABHD13"
"82","ABHD14A"
"83","ABHD14A-ACY1"
"84","ABHD14B"
"85","ABHD15"
"86","ABHD16A"
"87","ABHD16B"
"88","ABHD17A"
"89","ABHD17B"
"90","ABHD17C"
"91","ABHD18"
"92","ABHD2"
"93","ABHD3"
"94","ABHD4"
"95","ABHD5"
"96","ABHD6"
"97","ABHD8"
"98","ABI1"
"99","ABI2"
"100","ABI3"
"101","ABI3BP"
"102","ABITRAM"
"103","ABL1"
"104","ABL2"
"105","ABLIM1"
"106","ABLIM2"
"107","ABLIM3"
"108","ABO"
"109","ABR"
"110","ABRA"
"111","ABRACL"
"112","ABRAXAS1"
"113","ABRAXAS2"
"114","ABT1"
"115","ABTB1"
"116","ABTB2"
"117","AC002094.3"
"118","AC004076.1"
"119","AC004593.2"
"120","AC004832.3"
"121","AC004922.1"
"122","AC004997.1"
"123","AC005324.2"
"124","AC005833.1"
"125","AC005863.1"
"126","AC006059.2"
"127","AC007040.2"
"128","AC008397.2"
"129","AC008676.3"
"130","AC008763.3"
"131","AC008764.4"
"132","AC008878.1"
"133","AC009779.3"
"134","AC010132.3"
"135","AC011448.1"
"136","AC011455.2"
"137","AC011462.1"
"138","AC011479.1"
"139","AC012485.1"
"140","AC013477.1"
"141","AC013489.1"
"142","AC016747.4"
"143","AC018630.4"
"144","AC018755.2"
"145","AC019068.1"
"146","AC020765.6"
"147","AC020907.6"
"148","AC021218.1"
"149","AC023055.1"
"150","AC023469.1"
"151","AC024592.3"
"152","AC024598.1"
"153","AC024940.1"
"154","AC025165.3"
"155","AC026786.1"
"156","AC053503.6"
"157","AC055839.2"
"158","AC064805.2"
"159","AC068580.4"
"160","AC073140.1"
"161","AC073310.1"
"162","AC074085.2"
"163","AC079612.1"
"164","AC083849.1"
"165","AC090517.4"
"166","AC091959.1"
"167","AC092143.1"
"168","AC092442.1"
"169","AC092675.1"
"170","AC092687.1"
"171","AC092718.8"
"172","AC092718.9"
"173","AC093155.3"
"174","AC093246.1"
"175","AC093512.2"
"176","AC093525.2"
"177","AC093827.5"
"178","AC097636.1"
"179","AC097637.1"
"180","AC098582.1"
"181","AC099552.1"
"182","AC100868.1"
"183","AC104389.6"
"184","AC104452.1"
"185","AC105001.2"
"186","AC107871.1"
"187","AC107959.5"
"188","AC109583.1"
"189","AC112721.2"
"190","AC126283.2"
"191","AC127029.3"
"192","AC131160.1"
"193","AC132217.2"
"194","AC134980.2"
"195","AC136428.1"
"196","AC139530.2"
"197","AC144573.1"
"198","AC231657.3"
"199","AC242842.3"
"200","AC244197.3"
"201","AC244258.1"
"202","AC245033.1"
"203","AC245047.1"
"204","AC245128.1"
"205","AC245748.1"
"206","AC245884.12"
"207","AC253536.7"
"208","ACAA1"
"209","ACAA2"
"210","ACACA"
"211","ACACB"
"212","ACAD10"
"213","ACAD11"
"214","ACAD8"
"215","ACAD9"
"216","ACADL"
"217","ACADM"
"218","ACADS"
"219","ACADSB"
"220","ACADVL"
"221","ACAN"
"222","ACAP1"
"223","ACAP2"
"224","ACAP3"
"225","ACAT1"
"226","ACAT2"
"227","ACBD3"
"228","ACBD4"
"229","ACBD5"
"230","ACBD6"
"231","ACBD7"
"232","ACCS"
"233","ACCSL"
"234","ACD"
"235","ACE"
"236","ACE2"
"237","ACER1"
"238","ACER2"
"239","ACER3"
"240","ACHE"
"241","ACIN1"
"242","ACKR1"
"243","ACKR2"
"244","ACKR3"
"245","ACKR4"
"246","ACLY"
"247","ACMSD"
"248","ACO1"
"249","ACO2"
"250","ACOD1"
"251","ACOT1"
"252","ACOT11"
"253","ACOT12"
"254","ACOT13"
"255","ACOT2"
"256","ACOT4"
"257","ACOT6"
"258","ACOT7"
"259","ACOT8"
"260","ACOT9"
"261","ACOX1"
"262","ACOX2"
"263","ACOX3"
"264","ACOXL"
"265","ACP1"
"266","ACP2"
"267","ACP3"
"268","ACP4"
"269","ACP5"
"270","ACP6"
"271","ACP7"
"272","ACR"
"273","ACRBP"
"274","ACRV1"
"275","ACSBG1"
"276","ACSBG2"
"277","ACSF2"
"278","ACSF3"
"279","ACSL1"
"280","ACSL3"
"281","ACSL4"
"282","ACSL5"
"283","ACSL6"
"284","ACSM1"
"285","ACSM2A"
"286","ACSM2B"
"287","ACSM3"
"288","ACSM4"
"289","ACSM5"
"290","ACSM6"
"291","ACSS1"
"292","ACSS2"
"293","ACSS3"
"294","ACTA1"
"295","ACTA2"
"296","ACTB"
"297","ACTBL2"
"298","ACTC1"
"299","ACTG1"
"300","ACTG2"
"301","ACTL10"
"302","ACTL6A"
"303","ACTL6B"
"304","ACTL7A"
"305","ACTL7B"
"306","ACTL8"
"307","ACTL9"
"308","ACTN1"
"309","ACTN2"
"310","ACTN3"
"311","ACTN4"
"312","ACTR10"
"313","ACTR1A"
"314","ACTR1B"
"315","ACTR2"
"316","ACTR3"
"317","ACTR3B"
"318","ACTR5"
"319","ACTR6"
"320","ACTR8"
"321","ACTRT1"
"322","ACTRT2"
"323","ACTRT3"
"324","ACVR1"
"325","ACVR1B"
"326","ACVR1C"
"327","ACVR2A"
"328","ACVR2B"
"329","ACVRL1"
"330","ACY1"
"331","ACY3"
"332","ACYP1"
"333","ACYP2"
"334","ADA"
"335","ADA2"
"336","ADAD1"
"337","ADAD2"
"338","ADAL"
"339","ADAM10"
"340","ADAM11"
"341","ADAM12"
"342","ADAM15"
"343","ADAM17"
"344","ADAM18"
"345","ADAM19"
"346","ADAM2"
"347","ADAM20"
"348","ADAM21"
"349","ADAM22"
"350","ADAM23"
"351","ADAM28"
"352","ADAM29"
"353","ADAM30"
"354","ADAM32"
"355","ADAM33"
"356","ADAM7"
"357","ADAM8"
"358","ADAM9"
"359","ADAMDEC1"
"360","ADAMTS1"
"361","ADAMTS10"
"362","ADAMTS12"
"363","ADAMTS13"
"364","ADAMTS14"
"365","ADAMTS15"
"366","ADAMTS16"
"367","ADAMTS17"
"368","ADAMTS18"
"369","ADAMTS19"
"370","ADAMTS2"
"371","ADAMTS20"
"372","ADAMTS3"
"373","ADAMTS4"
"374","ADAMTS5"
"375","ADAMTS6"
"376","ADAMTS7"
"377","ADAMTS8"
"378","ADAMTS9"
"379","ADAMTSL1"
"380","ADAMTSL2"
"381","ADAMTSL3"
"382","ADAMTSL4"
"383","ADAMTSL5"
"384","ADAP1"
"385","ADAP2"
"386","ADAR"
"387","ADARB1"
"388","ADARB2"
"389","ADAT1"
"390","ADAT2"
"391","ADAT3"
"392","ADCK1"
"393","ADCK2"
"394","ADCK5"
"395","ADCY1"
"396","ADCY10"
"397","ADCY2"
"398","ADCY3"
"399","ADCY4"
"400","ADCY5"
"401","ADCY6"
"402","ADCY7"
"403","ADCY8"
"404","ADCY9"
"405","ADCYAP1"
"406","ADCYAP1R1"
"407","ADD1"
"408","ADD2"
"409","ADD3"
"410","ADGB"
"411","ADGRA1"
"412","ADGRA2"
"413","ADGRA3"
"414","ADGRB1"
